N.,Attrib.,min,max,mean,st-dev
1,Q-E,10000,60081,37226.56,6571.46
2,ZN-E,0.1,33.5,2.36,2.74
3,PH-E,6.9,8.7,7.81,0.24
4,DBO-E,31,438,188.71,60.69
5,DQO-E,81,941,406.89,119.67
6,SS-E,98,2008,227.44,135.81
7,SSV-E,13.2,85,61.39,12.28
8,SED-E,0.4,36,4.59,2.67
9,COND-E,651,3230,1478.62,394.89
10,PH-P,7.3,8.5,7.83,0.22
11,DBO-P,32,517,206.2,71.92
12,SS-P,104,1692,253.95,147.45
13,SSV-P,7.1,93.5,60.37,12.26
14,SED-P,1,46,5.03,3.27
15,COND-P,646,3170,1496.03,402.58
16,PH-D,7.1,8.4,7.81,0.19
17,DBO-D,26,285,122.34,36.02
18,DQO-D,80,511,274.04,73.48
19,SS-D,49,244,94.22,23.94
20,SSV-D,20.2,100,72.96,10.34
21,SED-D,0,3.5,0.41,0.37
22,COND-D,85,3690,1490.56,399.99
23,PH-S,7,9.7,7.7,0.18
24,DBO-S,3,320,19.98,17.2
25,DQO-S,9,350,87.29,38.35
26,SS-S,6,238,22.23,16.25
27,SSV-S,29.2,100,80.15,9
28,SED-S,0,3.5,0.03,0.19
29,COND-S,683,3950,1494.81,387.53
30,RD-DBO-P,0.6,79.1,39.08,13.89
31,RD-SS-P,5.3,96.1,58.51,12.75
32,RD-SED-P,7.7,100,90.55,8.71
33,RD-DBO-S,8.2,94.7,83.44,8.4
34,RD-DQO-S,1.4,96.8,67.67,11.61
35,RD-DBO-G,19.6,97,89.01,6.78
36,RD-DQO-G,19.2,98.1,77.85,8.67
37,RD-SS-G,10.3,99.4,88.96,8.15
38,RD-SED-G,36.4,100,99.08,4.32
